,title,description,image
133,The Wind & the Reckoning,"As an outbreak of leprosy engulfs 19th-century colonial Hawai'i, a small group of infected Native Hawaiians resist government-mandated exile, taking a courageous stand against the provisional government. Inspired by real-life events.",https://m.media-amazon.com/images/M/MV5BYmQyMzZhNGUtY2U5OC00YWNhLTlmZDMtYjQ4OGYyNWIxMDc3XkEyXkFqcGdeQXVyNDIwOTYxOTQ@.jpg
134,Free State of Jones,A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.,https://m.media-amazon.com/images/M/MV5BMTA4NTYyMTcwNTFeQTJeQWpwZ15BbWU4MDI0NTg0MDkx.jpg
136,Guns 3: Alias Billy the Kid,Plot kept under wraps. Third installment of the 'Young Guns' film franchise.,https://m.media-amazon.com/images/M/MV5BZDE5NGRkNzEtMmYzMi00NzJiLWJjMjMtZjBkMTViYTZlYTg2XkEyXkFqcGdeQXVyMTQ4NjgzNA@@.jpg
137,Hang 'Em High,"When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice.",https://m.media-amazon.com/images/M/MV5BYmU5MTk1MGMtZjY4MC00YWI5LTk0NmYtNzJiZGMyZGQ5YzE4XkEyXkFqcGdeQXVyMTUzMDUzNTI3.jpg
138,Cat Ballou,A young schoolteacher turns into an outlaw to avenge her murdered father.,https://m.media-amazon.com/images/M/MV5BNWEyYzczOWQtODlhNi00ZmE0LTgzZTYtOTcxNjU3MDAwM2YzXkEyXkFqcGdeQXVyNjE5MjUyOTM@.jpg
140,They Call Me Trinity,"A lazy, unorthodox gunfighter and his portly, horse-thieving brother defend a Mormon settlement from a land-grabbing Major, a Mexican bandit, and their henchmen.",https://m.media-amazon.com/images/M/MV5BMWVlNjE1MDYtM2FkNy00OGYwLWEzMTAtMDQ3Y2RhYWI1YmQ1XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
142,Rio Lobo,"After the Civil War, Cord McNally searches for the two traitors whose treachery caused the defeat of McNally's unit and the loss of a close friend.",https://m.media-amazon.com/images/M/MV5BMmQ5MGViMmYtMzEwMy00NWQxLTk4NTMtNWMxNGVmNWI2NzJhXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
143,Woman Walks Ahead,"Catherine Weldon, a portrait painter from 1890s Brooklyn, travels to Dakota to paint a portrait of Sitting Bull and becomes embroiled in the Lakota peoples' struggle over the rights to their land.",https://m.media-amazon.com/images/M/MV5BNjE1M2NlODEtYzMzZi00ZWUzLWEwMGItMTYzOTYyODU2ZDlhXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg
145,The Cowboys,Rancher Wil Andersen is forced to hire inexperienced boys as cowhands in order to get his herd to market on time but the rough drive is full of dangers and a gang of cattle rustlers is trailing them.,https://m.media-amazon.com/images/M/MV5BMzBhNDhmODEtMzFhMS00ZWQ0LTk5ZjItNmNkOTc1NDk0MjQzXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
148,Home on the Range,"To save their farm, the resident animals go bounty hunting for a notorious outlaw.",https://m.media-amazon.com/images/M/MV5BYWIyNWEwZDctMzkzNC00NzkyLTk5YWUtOWQ5MzBhMGE1NTE4XkEyXkFqcGdeQXVyNjExODE1MDc@.jpg
152,The Horse Whisperer,The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse.,https://m.media-amazon.com/images/M/MV5BZTA5NzU4YzItMjhjYy00YjNjLTljM2MtZDk3ZDE5OGVjNTBhXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
153,The Last Son,An outlaw attempts to end his evil family line.,https://m.media-amazon.com/images/M/MV5BYjgyNGI2ZTktYzkyOS00ZjIwLTliNTItYzI1ZDlhZTA2NWU0XkEyXkFqcGdeQXVyMTA0MjcxOTI3.jpg
156,The Shootist,A dying gunfighter spends his last days looking for a way to die with a minimum of pain and a maximum of dignity.,https://m.media-amazon.com/images/M/MV5BMDYxNDEwMWEtYjhhNC00ZjUxLTg1NmUtZmFiZTY5OTljMzliXkEyXkFqcGdeQXVyMjI4MjA5MzA@.jpg
157,Saddle Tramp,A saddle tramp unexpectedly becomes foster parent to four children for whom he provides by working on a ranch that's embroiled in a feud with another ranch and cattle rustlers.,https://m.media-amazon.com/images/M/MV5BNjQ5NWQ5NTAtZWE3Zi00YzJiLTgzZjItMTVmOTMzNDYwZmNhXkEyXkFqcGdeQXVyMTYzNTE3NDA@.jpg
158,The Scarlet Letter,An affair between a young woman and a pastor has disastrous consequences.,https://m.media-amazon.com/images/M/MV5BMTkxOWQ0OWMtY2E5YS00YjkzLWFjODQtZGY4NTQ5YmE2OGIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
164,Hombre,"John Russell, disdained by his ""respectable"" fellow stagecoach passengers because he was raised by Native Americans, becomes their only hope for survival when they are set upon by outlaws.",https://m.media-amazon.com/images/M/MV5BZTk1YjVlNzAtNTA2NC00YTM1LThjMzAtZDhhZWQ5NDM1NTVlXkEyXkFqcGdeQXVyNjUwNzk3NDc@.jpg
167,3:10 to Yuma,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,https://m.media-amazon.com/images/M/MV5BODE0NTcxNTQzNF5BMl5BanBnXkFtZTcwMzczOTIzMw@@.jpg
168,My Darling Clementine,"After their cattle are stolen and their brother murdered, the Earp brothers have a score to settle with the Clanton family.",https://m.media-amazon.com/images/M/MV5BZTQ5MTc1NzYtZmIyYi00YzdjLTk4OWEtMDQyNmU1MTQ2MzkzXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg
169,The Alamo,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio Texas.",https://m.media-amazon.com/images/M/MV5BMTAzOTQ5Nzg4MzheQTJeQWpwZ15BbWU2MDQwODAxNw@@.jpg
170,Ghost Town,"Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts.",https://m.media-amazon.com/images/M/MV5BMTQyODQ4MzYxN15BMl5BanBnXkFtZTcwOTQ1MDczMw@@.jpg
171,Hondo,Army dispatch rider Hondo Lane discovers a woman and young son living in the midst of warring Apaches and becomes their protector.,https://m.media-amazon.com/images/M/MV5BY2JiZjM0N2EtZWQ1Mi00ZTI4LWFlY2MtMjM3YzkwNjYxN2ExXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg
173,How to Blow Up a Pipeline,A crew of environmental activists plot a daring plan to disrupt an oil pipeline.,https://m.media-amazon.com/images/M/MV5BY2VlNjA3YzAtNTBhZi00MTA2LWFmNzQtOTJiNzYyNTE2ZWM0XkEyXkFqcGdeQXVyNTI4OTk1OTA@.jpg
175,The Big Country,"A New England sea captain in the 1880s arrives at his fiancée's sprawling Texas ranch, where he becomes embroiled in a feud between two families over a valuable patch of land.",https://m.media-amazon.com/images/M/MV5BNDAwMTViNWEtNmQ0ZC00NGJmLWJjYWMtMGYxMTYxY2Y0Y2MzXkEyXkFqcGdeQXVyMTMxMTY0OTQ@.jpg
